Type,Arrival Date,Main Cabin Seats,Flight Number,Destination Code,Origin Airport,Miner Points,Origin Code,Business Class Price,Main Cabin Price,Departing Time,Duration,Surcharge,Origin Airport Lounge,Distance,Time Zone Difference,Arrival Time,Departing Date,Origin Airport State,Origin Airport Country,Origin Airport Fee,Destination Airport City,Food Served,Destination Airport State,Destination Airport Country,Destination Airport Fee,Destination Airport Lounge,Route Cost,Total Seats,ID,First Class Seats,Destination Airport,Business Class Seats,Origin Airport City,First Class Price
Domestic,3/23/2023,85,2311,DFW,El Paso International Airport,1102,ELP,1153,295,5:30 AM,94,0,FALSE,551,1,8:04 AM,3/23/2023,Texas,United States,3.5,Dallas,FALSE,Texas,United States,3,TRUE,11686,158,1,10,Dallas/Ft. Worth International Airport,63,El Paso,2052
Domestic,3/23/2023,90,2344,ELP,Dallas/Ft. Worth International Airport,1102,DFW,1066,339,5:30 AM,94,0,TRUE,551,-1,6:04 AM,3/23/2023,Texas,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,19082,145,4,14,El Paso International Airport,41,Dallas,2189
Domestic,3/23/2023,100,2377,LAX,El Paso International Airport,1428,ELP,689,382,5:30 AM,113,0,FALSE,714,-1,6:23 AM,3/23/2023,Texas,United States,3.5,Los Angeles,FALSE,California,United States,4,TRUE,14000,152,7,9,Los Angeles International Airport,43,El Paso,1342
Domestic,3/23/2023,97,23110,ELP,Los Angeles International Airport,1428,LAX,826,165,5:30 AM,113,0,TRUE,714,1,8:23 AM,3/23/2023,California,United States,4,El Paso,FALSE,Texas,United States,3.5,FALSE,10513,156,10,9,El Paso International Airport,50,Los Angeles,1223
Domestic,3/23/2023,91,23413,ORD,El Paso International Airport,2470,ELP,707,214,5:30 AM,176,0,FALSE,1235,1,9:26 AM,3/23/2023,Texas,United States,3.5,Chicago,FALSE,Illinois,United States,4.5,TRUE,10706,167,13,14,Chicago International Airport,62,El Paso,1810
Domestic,3/23/2023,88,23716,ELP,Chicago International Airport,2470,ORD,906,527,5:30 AM,176,0,TRUE,1235,-1,7:26 AM,3/23/2023,Illinois,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,19778,148,16,8,El Paso International Airport,52,Chicago,1405
Domestic,3/23/2023,95,23119,ATL,El Paso International Airport,2560,ELP,698,508,5:30 AM,181,0,FALSE,1280,2,10:31 AM,3/23/2023,Texas,United States,3.5,Atlanta,FALSE,Georgia,United States,4.5,TRUE,11291,167,19,14,Hartsfield-Jackson Atlanta International Airport,58,El Paso,1924
Domestic,3/23/2023,98,23422,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,555,396,5:30 AM,181,0,TRUE,1280,-2,6:31 AM,3/23/2023,Georgia,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,10990,165,22,15,El Paso International Airport,52,Atlanta,2396
Domestic,3/23/2023,91,23725,JFK,El Paso International Airport,3806,ELP,590,284,5:30 AM,256,0,FALSE,1903,2,11:46 AM,3/23/2023,Texas,United States,3.5,New York,FALSE,New York,United States,6,TRUE,16215,151,25,12,John F. Kennedy International Airport,48,El Paso,3007
Domestic,3/23/2023,85,23128,ELP,John F. Kennedy International Airport,3806,JFK,849,448,5:30 AM,256,0,TRUE,1903,-2,7:46 AM,3/23/2023,New York,United States,6,El Paso,FALSE,Texas,United States,3.5,FALSE,12213,154,28,11,El Paso International Airport,58,New York,1254
